,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
0126, STEVEN SONG DESIGN LAB ,D,   ,Master's,D
1025, ROCKSBOX INC ,D," 145,000 ",Master's,D
2135, REALTY MOGUL CO ,D," 130,000 ",Bachelor's,D
5691, JASMIN HENVILLE DMD PC ,D," 156,000 ",Professional Degree,D
5826, HEALTHCARE BUSINESS INTELLIGENCE ,D," 69,805 ",Master's,D
0381, STOTLE INC ,D," 85,000 ",Bachelor's,D
1501, CONNECTICUT PHARMACY LLC ,D," 111,363 ",Professional Degree,D
2264, YOUNG RAE KIM DDS INC ,D," 72,909 ",Professional Degree,D
3465, FIVE BRANCHES UNIVERSITY ,D," 21,294 ",Master's,D
5113, SWIFT NAVIGATION INC ,D," 110,000 ",Master's,D
2610, REDDY URGEN CARE-HARTWELL LLC ,D," 80,000 ",Master's,D
4728, QUINPARIO PARTNERS LLC ,D," 99,250 ",Master's,D
5064, POWWOW INC ,D," 220,000 ",Bachelor's,D
5282, PLUMZI INC ,D," 120,000 ",Master's,D
6704, NITORI USA INC ,D," 47,000 ",Master's,D
9586, TALLAMOND INC ,D," 71,136 ",Master's,D
2122, COSTUME MANAGER LLC ,D," 80,000 ",Bachelor's,D
1842, NYCEDC NEW YORK CITY ECONOMIC DEV ,D," 87,500 ",Master's,D
2672, DANTIAN THERAPY ACUPUNCTURE INC ,D," 32,640 ",Bachelor's,D
5061, ACEABLE INC ,D," 45,000 ",Bachelor's,D
9958, SEEK THERMAL INC ,D," 84,302 ",Master's,D
2997, NAMCE LLC ,D," 100,000 ",Master's,D
5655, SOKO INC ,D," 50,100 ",Bachelor's,D
6604, DENTAL HEALTH ASSOCS OF ARKANSAS ,D," 82,375 ",Professional Degree,D
9379, MASON EAST PA INC ,D," 68,700 ",Some College Credits,D
1184, CONTINUUM REHABILITATION LLC ,D," 42,120 ",Master's,D
1678, A&A INFOSYSTEMS INC ,D," 45,011 ",Master's,D
3559, CGL MANAGEMENT SERVICES LLC ,D," 100,000 ",Master's,D
2950, OTR PERFORMANCE INC ,D," 39,395 ",Master's,D
5266, PROFESSOR ARI AFILALO & CO PLLC ,D," 195,000 ",Professional Degree,D
8556, MONOVOLT INC ,D," 29,307 ",Bachelor's,D
9297, WRP ADVISORS LLC ,D," 34,000 ",Master's,D
0907, ALVEO ENERGY INC ,D," 90,000 ",Master's,D
6564, DRIVEWEALTH LLC ,D," 58,282 ",Master's,D
0602, KX ENERGY INC ,D," 60,965 ",Master's,D
2996, DIGITAL RESULTS LLC DBA SPRINGBOX ,D," 80,500 ",Master's,D
3543, PARKLAND CTR FOR CLINICAL INNOVAT ,D," 113,859 ",Master's,D
4192, ROAM ANALYTICS INC ,D," 90,000 ",Bachelor's,D
0191, PRETIUM MORTGAGE CREDIT MGMT LL ,D," 87,500 ",Master's,D
4970, PRAVASTECH INC ,D," 60,000 ",Bachelor's,D
8077, HAO LAW PC ,D," 36,629 ",Professional Degree,D
3726, SW AREA REGIONAL TRANSIT DISTRICT ,D," 56,190 ",Master's,D
6438, BAKERSFIELD COMMUNITY HOSPICE INC ,D," 76,045 ",Bachelor's,D
7573, PINK TOWER INC DBA APPLESEED MONT ,D," 46,160 ",Professional Degree,D
1799, WAKO LIFE SCIENCES INC ,D," 76,274 ",Master's,D
6243, PRETIUM REO LLC ,D," 80,000 ",Bachelor's,D
7512, RIBBIT MANAGEMENT COMPANY LLC D/B ,D," 150,000 ",Bachelor's,D
7538, PAVE INC ,D," 150,000 ",Bachelor's,D
9027, BIRMINGHAM INFECTIOUS DISEASES PC ,D," 249,600 ",Professional Degree,D
0581, VIRTUSENSE TECHNOLOGIES LLC ,D," 65,000 ",Master's,D
3063, NORVAX LLC D/B/A GO HEALTH ,D," 135,000 ",Bachelor's,D
8213, TULLIS HEALTH INVESTORS OF FL LLC ,D," 65,000 ",Master's,D
1879, PERCH INTERACTIVE INC ,D," 90,000 ",Master's,D
7368, 97-10 QUEENS BLVD STORE LLC DBA N ,D," 49,379 ",Bachelor's,D
8504, KALARA LAW CORP DBA KALARA LAW ,D," 89,107 ",Professional Degree,D
6824, AC & APPLIANCES GROUP CORP ,D," 55,370 ",Master's,D
7841, SPRING NEWELL INC ,D," 78,000 ",Bachelor's,D
8183, WHISTLE LABS INC ,D," 120,000 ",Master's,D
9332, EVENTFORTE INC ,D," 110,000 ",Doctorate,D
9541, ALIGNIUS LLC ,D," 74,500 ",Bachelor's,D
2645, KOVAN TECHNOLOGY SOLUTIONS LLC ,D," 60,000 ",Master's,D
3954, LAW OFFICES OF JENNY C AHN ,D,   ,Master's,D
4139, PROBIT SYSS INC FKA PRECISE METRI ,D," 88,000 ",Bachelor's,D
7444, EMAILAGE CORP ,D," 90,000 ",Bachelor's,D
7856, ALL NATURAL STONE EAST BAY INC ,D," 53,040 ",Master's,D
9365, AMERICAN LEATHER LP ,D," 117,000 ",Bachelor's,D
9586, DURABLE ELECTRIC POWER LLC ,D," 80,400 ",Master's,D
0305, FAYETTE PHYSICIAN NETWORK INC ,D," 185,000 ",Professional Degree,D
1826, EMH PRO SVCS LLC DBA INFINITY FIN ,D," 37,500 ",Master's,D
4879, EDLOGICS LLC ,D," 95,000 ",Master's,D
5166, DINEINFRESH INC ,D," 120,000 ",Master's,D
7193, PELAGOS TECHNOLOGIES LLC ,D," 63,900 ",Bachelor's,D
8762, INFOMERGY INC ,D," 65,000 ",Bachelor's,D
8790, SHARMA STRATEGY GROUP ,D," 55,786 ",Bachelor's,D
9868, ALL EYE CARE AT DAVIS INC DBA ALL ,D,   ,Professional Degree,D
1254, INPATIENT SPECIALISTS OF SW FL LL ,D," 195,000 ",Professional Degree,D
3349, DOBERMAN DESIGN INC ,D," 115,000 ",Master's,D
6347, PIVOTAL LEADERSHIP LLC DBA CO-EME ,D," 31,200 ",Master's,D
6444, PRAGYA SYSTEMS CORP ,D," 80,000 ",Master's,D
3412, MYLIO LLC ,D," 130,000 ",Bachelor's,D
4938, AABS DENTAL PLLC ,D," 112,500 ",Professional Degree,D
5523, GREATBRIDGE CONSULTING ,D," 80,000 ",Master's,D
6031, GLUCAN BIORENEWABLES LLC ,D," 79,500 ",Doctorate,D
1283, THEATRO LABS INC ,D," 64,800 ",Master's,D
3749, BENSON HILL BIOSYSTEMS INC ,D," 85,000 ",Doctorate,D
4810, VENDOME GLOBAL PARTNERS LLC ,D," 100,000 ",Master's,D
6421, NEUTRON MOBILE INC ,D," 63,000 ",Bachelor's,D
8168, SONG LAW FIRM LLC ,D," 40,643 ",Professional Degree,D
1986, ON DEMAND ICARS INC ,D," 135,000 ",Master's,D
3028, RC DESIGN COLLABORATIVE LLC DBA S ,D," 55,000 ",Master's,D
5749, APIS BUS INTELLIGENCE LLC DBA MAR ,D," 85,000 ",Master's,D
6869, COTTONWOOD MGMT LLC ,D," 81,691 ",Bachelor's,D
7714, METASOFTTECH SOLUTIONS LLC ,D," 65,000 ",Bachelor's,D
0737, GIVELIFY LLC ,D," 84,000 ",Bachelor's,D
1412, YANKA INDUSTRIES INC DBA MASTERCL ,D," 150,000 ",Master's,D
2285, HEALTH RECOVERY SOLUTIONS INC ,D," 72,010 ",Master's,D
7735, MAYLINK LLC ,D," 44,096 ",Bachelor's,D
9997, SISYA BUSINESS SERVICES INC ,D," 75,000 ",Bachelor's,D
1489, AKRIBIS SYSTEMS INCORPORATED ,D," 76,500 ",Master's,D
2341, PSIKICK INC ,D," 150,000 ",Master's,D
4705, UPPER QUAD LLC DBA UPPERQUAD ,D," 75,000 ",Master's,D
8237, KEYSTONE HOSPITALITY MGT LLC ,D," 38,043 ",Bachelor's,D
3339, PROSPERWORKS INC ,D," 125,000 ",Master's,D
4279, CORE QUANTUM TECHNOLOGIES INC ,D," 70,000 ",Doctorate,D
6703, LEOTHUNDRA TECHNOLOGIES LLC ,D," 63,000 ",Master's,D
8422, AUVIZ SYSTEMS INC ,D," 80,000 ",Doctorate,D
0893, BIZCORPS INC ,D," 45,360 ",Master's,D
3406, SABOR TROPICAL MANAGEMENT CORP ,D," 42,000 ",Bachelor's,D
7447, CHANNEL IT SOLUTIONS LLC ,D," 60,000 ",Master's,D
9804, UNJK CONSULTING INC ,D," 21,840 ",Bachelor's,D
0384, REALSCOUT INC ,D," 75,000 ",Master's,D
0792, FAMILY PHARMACY LLC ,D," 114,480 ",Bachelor's,D
3538, QUALITY MEATS INC DBA SAMHA FOODS ,D," 30,900 ",Master's,D
7407, CUCC BUSINESS REGIONAL CENTER INC ,D," 53,000 ",Master's,D
8721, RX CARE 4 LLC DBA BENZER PHARMACY ,D," 55,000 ",Master's,D
3130, SAI DENTAL CARE INC ,D," 169,000 ",Professional Degree,D
0061, KINSA INC ,D," 90,000 ",Bachelor's,D
0429, DIGITAL OUTDOORS LLC DBA LIGHTKIN ,D," 50,000 ",Bachelor's,D
1846, VACATIA INC ,D," 62,109 ",Bachelor's,D
2161, NORTH AMERICAN BULL INDUSTRY INC ,D," 49,504 ",Master's,D
4378, PETROAFRICA LLC ,D," 58,656 ",Master's,D
9109, DRIVINGSALES LLC ,D," 64,000 ",Master's,D
9176, WRNS STUDIO ,D," 95,000 ",Master's,D
0346, MR X GOTHAM LLC ,D," 60,000 ",Bachelor's,D
1020, HELIOTROPE TECHNOLOGIES INC ,D," 140,000 ",Doctorate,D
1829, 12TWENTY INC ,D," 85,000 ",Master's,D
6360, MAREK ARCHITECTURE ,D," 48,755 ",Master's,D
6720, ERGOTELES LLC ,D," 150,000 ",Doctorate,D
0459, VVSTECH INC ,D," 120,000 ",Bachelor's,D
5881, S&H NEXT GENERATION TECHS INC ,D," 90,000 ",Master's,D
6265, MONTERIS MEDICAL CORP ,D," 75,000 ",Master's,D
6550, KEYKODE INC ,D," 55,370 ",Bachelor's,D
6875, ALIGNMENT HEALTHCARE USA LLC ,D," 160,000 ",Master's,D
9945, CHAINMAX LLC ,D," 25,451 ",Master's,D
1886, LAVAMAP LLC ,D,   ,Master's,D
8684, DHX GROUP INC ,D," 81,000 ",Bachelor's,D
1249, CREATIVE SOFTWARE SOLUTION LLC ,D," 65,083 ",Master's,D
1287, MK KARAOKE LLC ,D," 29,265 ",Bachelor's,D
1865, VIVALDI MUSIC ACADEMY LLC ,D," 43,700 ",Master's,D
2345, ENVY HAWAII LLC ,D," 100,000 ",Master's,D
2822, R2 DATA VISION INC ,D," 61,500 ",Bachelor's,D
7565, COIN INC ,D," 140,000 ",Bachelor's,D
7735, BOSTON PEDIATRICS PLLC ,D," 135,000 ",Professional Degree,D
9721, YURGOSKY CONSULTING LIMITED INC ,D," 60,000 ",Master's,D
1118, FYRA ENGINEERING LLC ,D," 75,000 ",Doctorate,D
7609, YHLSOFT INC ,D," 55,000 ",Master's,D
1327, THERMAL MGMT SOLUTIONS ,D," 76,880 ",Bachelor's,D
5732, THE CONSERVATORIE LLC ,D," 80,000 ",Bachelor's,D
6866, SILVERSTONE PROPERTY MANAGEMENT C ,D," 32,760 ",Master's,D
9657, ESHARES INC ,D," 80,000 ",Bachelor's,D
0197, HITEK FORCE LLC ,D," 65,000 ",Bachelor's,D
0249, THE UNIVERSITY OF NORTH DAKOTA ,D," 39,520 ",Bachelor's,D
2250, WILLIAMS COUNTY ,D," 76,500 ",Bachelor's,D
2480, DICKINSON STATE UNIVERSITY ,D," 52,015 ",Master's,D
2482, VALLEY CITY STATE UNIVERSITY ,D," 49,383 ",Master's,D
2485, MAYVILLE STATE UNIV ,D,   ,Doctorate,D
0490, VALLEY QUEEN CHEESE FACTORY INC ,D," 47,000 ",Bachelor's,D
0847, PRESENTATION COLLEGE ,D," 66,789 ",Doctorate,D
6317, FUGRO GEOSPATIAL INC ,D," 76,888 ",Bachelor's,D
5557, BUSINESS RESOURCES LTD ,D," 75,000 ",Master's,D
0593, TRAIL KING INDUSTRIES INC ,D," 39,125 ",Bachelor's,D
8596, SANFORD HEALTH NETWORK ,D," 51,189 ",Bachelor's,D
6545, SPARTAN MOTORS USA INC ,D," 62,000 ",Master's,D
7884, HAT WORLD INC ,D," 121,000 ",Master's,D
0514, GARRET TENBROEK CPA PC ,D," 36,782 ",Master's,D
5398, CHILDREN S ACUTE CARE P C ,D," 42,359 ",Professional Degree,D
2277, INFECTIOUS DISEASE SPECIALISTS PC ,D," 187,200 ",Professional Degree,D
6811, MCCULLOUGH LANDSCAPE ARCHITECTURE ,D," 45,802 ",Bachelor's,D
7025, SLOOD LLC DBA ALLWIN INSUR AGENCY ,D," 21,694 ",Master's,D
9764, ALLERGAN SALES LLC A WHOLLY OWNED ,D," 143,170 ",Bachelor's,D
0671, SMURFIT KAPPA PACKAGING LLC ,D," 48,000 ",Master's,D
1323, SODECIA USA AUTOMOTIVE CORP ,D," 65,000 ",Master's,D
5428, ADVANCED MECHATRONICS SOLUTIONS I ,D,   ,Missing Education,D
8992, SUPUTRA LLC ,D," 39,832 ",Bachelor's,D
2061, NEWPORT SENSORS INC ,D," 112,000 ",Master's,D
3364, PROBELOGIC INC ,D," 58,178 ",Master's,D
3583, SVC CORP DBA ZYGO USA ,D," 69,576 ",Master's,D
6207, SILICON MECHANICS INC ,D," 70,000 ",Master's,D
8003, SUN DENTAL PC ,D," 89,856 ",Professional Degree,D
8166, VUCLIP INC XINLAB INC ,D," 200,000 ",Master's,D
2425, PRO SOFT RESOURCES INC ,D," 93,000 ",Bachelor's,D
2653, QUINNOX INC ,D," 67,500 ",Bachelor's,D
6444, PEOPLE & LOGISTICS AMERICA INC ,D," 33,462 ",Bachelor's,D
0531, WAVELAB INC ,D," 80,000 ",Master's,D
1653, OVERDRIVE MARKETING COMMS LLC ,D," 39,395 ",Master's,D
3553, INTEGRITY STRUCTURAL CORPORATION ,D," 58,136 ",Master's,D
5693, MANDARIN ORIENTAL NEW YORK ,D," 61,303 ",Bachelor's,D
6252, RPM TRANSPORTATION CONSULTANTS LL ,D," 61,565 ",Master's,D
6342, TRI ALPHA ENERGY INC ,D," 143,780 ",Doctorate,D
0254, RICARDO ABREU MD PA DBA PULMONARY ,D," 200,000 ",Professional Degree,D
0910, INSYGHT INTERACTIVE INC ,D," 58,000 ",Doctorate,D
7268, SANSAY INC ,D," 84,900 ",Master's,D
8735, TRIA BEAUTY INC ,D," 146,206 ",Master's,D
1050, COURTVIEW JUSTICE SOLUTIONS INC ,D," 115,000 ",Master's,D
1114, CAMLIN POWER INC ,D," 64,000 ",Master's,D
1485, FUSION OBJECTS CORPORATION ,D," 72,000 ",Bachelor's,D
1733, UE MACHINERY & PARTS LLC ,D," 75,000 ",Master's,D
2515, SEON DESIGN USA CORP ,D," 60,500 ",Doctorate,D
2627, ATHENE ASSET MANAGEMENT L P ,D," 127,000 ",Master's,D
3886, HISUN PHARMACEUTICALS USA INC ,D," 52,780 ",Master's,D
4138, CAPULA INVESTMENT US LP ,D," 160,000 ",Master's,D
4570, GRANITI VICENTIA LLC ,D," 45,000 ",Master's,D
4981, ILOVEVELVET INC ,D," 36,150 ",Bachelor's,D
5253, QWILT INC ,D," 214,552 ",Master's,D
5312, EPCOR WATER USA INC ,D," 65,146 ",Bachelor's,D
5420, MARIVA CAPITAL MARKETS LLC ,D," 90,000 ",Bachelor's,D
5455, CLAVIS TECHNOLOGY LLC ,D," 73,500 ",Bachelor's,D
8664, VELITE BENCHMARK CAPITAL MGT LLC ,D," 150,000 ",Bachelor's,D
2833, ALL CAMPUS LLC ,D," 67,000 ",Master's,D
3892, ASCII GLOBAL SYSTEMS LLC ,D," 52,000 ",Bachelor's,D
0991, US XINGYE CORPORATION ,D," 73,299 ",Master's,D
0994, THE ISRAEL INST INC ,D," 90,000 ",Doctorate,D
2868, KIM & ASSOCIATES P C D/B/A DREAM ,D," 26,130 ",Professional Degree,D
3380, SHRI BALAJI DRUGS INC DBA HALLS P ,D," 115,000 ",Doctorate,D
4255, ECHURCH INC ,D," 65,000 ",Bachelor's,D
4302, MOTIVE GROUP INC ,D," 82,500 ",Bachelor's,D
1994, HNZ LLC DBA HAYAT PHARMACY 2 ,D,   ,Bachelor's,D
4474, BENJAMIN & YOUNG LLP ,D," 47,882 ",Master's,D
1353, ULTIMATE JET VACATIONS LLC ,D," 34,882 ",Master's,D
3871, THE BLAZE INC ,D," 84,000 ",Bachelor's,D
7449, BEACH MEDICAL ASSOCIATES INC ,D," 185,000 ",Professional Degree,D
9188, OPENPLACEMENT INC ,D," 160,000 ",Bachelor's,D
1749, THE JENSEN LAW FIRM PLLC ,D," 18,720 ",Professional Degree,D
2548, 12TH WONDER LLC ,D," 83,500 ",Bachelor's,D
2600, METROPIA INC ,D," 55,203 ",Master's,D
9260, DATA DYNAMICS INC ,D," 85,000 ",Master's,D
3718, SPOTLINE INC ,D," 110,000 ",Bachelor's,D
4973, ASCENDIFY ,D," 70,100 ",Bachelor's,D
9981, DOOSAN ELECTRO MATERIALS AMERICA ,D," 60,500 ",Bachelor's,D
0382, MODULAR ROBOTICS INC ,D," 68,411 ",Bachelor's,D
1122, US TECH CONSTRUCTION CORPORATION ,D," 130,000 ",Master's,D
1271, VINCI INTERNATIONAL GROUP CORP ,D," 45,906 ",Master's,D
2134, NORTH AMERICA REAL ESTATE INVESTM ,D,   ,Master's,D
3184, LIM INNOVATIONS ,D," 70,000 ",Master's,D
8890, ICON COMPLIANCE SERVICES LLC ,D," 45,000 ",Bachelor's,D
1450, AIMAZYME LLC ,D," 80,000 ",Master's,D
7347, HS BIOPHARMACEUTICALS INC ,D," 44,000 ",Master's,D
8219, TRISTAR SOFTWARE LLC ,D," 60,000 ",Master's,D
0192, ONE NORTH INTERACTIVE LLC ,D," 90,000 ",Master's,D
1517, AUDIO DESIGN EXPERTS INC DBA RIVA ,D," 35,000 ",Master's,D
2208, CELLVAL LLC ,D," 50,000 ",Master's,D
4696, APEX MICROTECHNOLOGY INC ,D," 63,544 ",Master's,D
4921, LASERS FOR INNOVATIVE SOLNS LLC ,D," 68,000 ",Doctorate,D
4994, ENUMA INC ,D," 100,500 ",Bachelor's,D
9060, SUNGWON ASHBURN LLC DB LOTTE PLAZ ,D," 52,000 ",Bachelor's,D
4689, ADGLOBAL 360 INC ,D," 70,000 ",Master's,D
4974, COTIVITI LLC ,D," 88,213 ",Master's,D
5915, QUANTIL INC ,D," 120,000 ",Master's,D
4066, HEAD AND HAND PR LLC ,D," 49,348 ",Master's,D
4872, SAINT LOUIS UNIV ,D," 90,000 ",Doctorate,D
7748, ETRADE SUPPLY USA INC ,D," 46,000 ",Master's,D
0652, ZHEN CAO DBA STATE FARM INSURANCE ,D," 42,000 ",Master's,D
2636, OCEAN CC LLC DBA FORTE DEI MARMI ,D," 61,942 ",Bachelor's,D
3535, MAGASSEMBLE LLC ,D," 75,000 ",Doctorate,D
9192, SEVEN STARS FILMS DBA SEVEN STARS ,D," 46,000 ",Bachelor's,D
0760, ABSOLUTE DRYWALL CONSTRUCTION INC ,D," 60,000 ",Bachelor's,D
1601, DESA AGI LLC ,D," 48,000 ",Bachelor's,D
5298, RADPAD INC ,D," 100,000 ",Master's,D
6061, REALITYCHECK TECH LLC ,D," 45,802 ",Master's,D
9145, AUTOMATION SYSTEM ENGINEERING INC ,D," 70,000 ",Bachelor's,D
9403, VALLISCOR LLC ,D," 58,000 ",Doctorate,D
1667, AUTOMOTIVEMASTERMIND INC ,D," 66,000 ",Master's,D
1765, CRADLE SYSTEMS LLC ,D," 249,600 ",Master's,D
6723, EXP ENGINEERING INTERNATIONAL LLC ,D," 66,000 ",Bachelor's,D
7369, HARRISVILLE DENTAL ASSOCIATES PC ,D," 29,120 ",Professional Degree,D
0529, ISR INFO WAY INC ,D," 79,622 ",Bachelor's,D
3278, SAI RX LLC ,D," 110,000 ",Master's,D
3714, BASSEM CHEHAB MD PA ,D," 375,000 ",Professional Degree,D
5324, TEKNE CAPITAL MANAGEMENT LLC ,D," 150,000 ",Bachelor's,D
7278, NEW YORK WEALTH PLANNING GROUP IN ,D," 40,000 ",Master's,D
7778, PGATOUR.COM LLC ,D," 65,000 ",Bachelor's,D
1107, COSMETIC & NATURAL DENTISTRY PC ,D," 91,000 ",Professional Degree,D
1892, KIG WEALTH MANAGEMENT LLC ,D," 70,000 ",Master's,D
3465, BAY AREA REG MEDICAL CENTER LLC ,D," 89,981 ",Master's,D
3822, CREO LANDSCAPE ARCHITECTURE URBAN ,D," 75,005 ",Master's,D
2036, QUADION LLC ,D," 63,000 ",Master's,D
3902, NANDAN TECHNOLOGIES LLC ,D," 80,000 ",Master's,D
6509, WILLEMSTAD INC ,D," 27,750 ",Master's,D
6614, H MART SAN DIEGO LLC ,D," 53,155 ",Bachelor's,D
3983, SYMMETRY PROPERTY DEVELOPMENT LLC ,D," 47,268 ",Master's,D
4088, FRIEND TRUSTED INC ,D," 100,000 ",Bachelor's,D
3105, AMERICAN HOME & KITCHEN PRODUCTS ,D," 37,440 ",Master's,D
9056, DELLA INFO TECH INC ,D," 89,856 ",Master's,D
4998, UPNEST INC ,D," 70,000 ",Master's,D
9304, AGILE HEALTH INC ,D," 55,000 ",Master's,D
0086, ARZZ INTERNATIONAL INC ,D," 80,000 ",Bachelor's,D
4793, ARAI CHIROPRACTIC INC DBA BEST CH ,D," 68,640 ",Professional Degree,D
9944, HUASHI PARK IFS CENTER LLC ,D," 19,200 ",Master's,D
1098, BUBBLE GROUP INC ,D," 72,010 ",Master's,D
2224, HOSPICE SPECTRUM INLAND EMPIRE FO ,D," 68,640 ",Master's,D
2947, MERCHANT CAPITAL GR LLC DBA GREEN ,D," 58,677 ",Master's,D
6336, MAPLE SHADE DENTAL BLOOMINGTON LL ,D," 169,000 ",Master's,D
0483, OKPANDA INC ,D," 90,000 ",Master's,D
0785, KIM CHEN AGENCY INC ,D," 35,500 ",Bachelor's,D
1492, APPLIED CRYO TECHNOLOGIES INC ,D," 125,000 ",Master's,D
3190, MDM INFORMATIX INC ,D," 85,000 ",Master's,D
4859, LEOPRO CONSULTING INC ,D," 85,000 ",Master's,D
6487, VOLO LLC ,D," 60,500 ",Bachelor's,D
7362, ITTSTAR CONSULTING LLC ,D," 103,200 ",Master's,D
9128, IBENZER INC ,D," 47,840 ",Master's,D
9646, DIGITAL VOLITION INCORPORATED ,D," 60,000 ",Bachelor's,D
8503, PROTEUSYS INC ,D," 80,000 ",Bachelor's,D
8541, OPENBONDX LLC ,D," 120,000 ",Bachelor's,D
4123, NOBODYS PERFEKT MEDIA ,D," 26,000 ",Master's,D
4576, HMK PARTNERS LLC DBA HAWKINS POIN ,D," 90,000 ",Bachelor's,D
6995, ISMART ALARM INC ,D," 36,046 ",Master's,D
0513, GOPLUS CORP ,D," 44,637 ",Bachelor's,D
0571, PLAID TECHNOLOGIES INC ,D," 180,000 ",Professional Degree,D
3122, DARRELL HARRIS CPA PC ,D," 50,000 ",Master's,D
6899, PATHSTONE PARTNERS LLC ,D," 150,000 ",Bachelor's,D
7748, VOIP INC DBA 2600HZ INC ,D," 57,200 ",Master's,D
0658, FUNGYUN INC ,D," 53,768 ",Master's,D
7325, GPI REAL ESTATE MANAGEMENT CORP ,D," 49,109 ",Master's,D
1752, BATTLE FIN LLC ,D," 30,720 ",Master's,D
0110, PAYSCOUT INC ,D," 65,000 ",Master's,D
0833, LENDA INC ,D," 91,000 ",Master's,D
1696, INTEGRATUS SOLUTIONS INC ,D," 110,406 ",Master's,D
5823, INTERCONN RESOURCES LLC ,D," 136,000 ",Master's,D
7094, INVESTMENT GRADE TECHNOLOGIES LLC ,D," 90,000 ",Master's,D
7096, ESTUDIO RAMOS INC ,D," 65,000 ",Bachelor's,D
0373, INFOEDGE LLC ,D," 72,000 ",Master's,D
5716, MILLION DOLLAR SMILE LLC ,D," 71,344 ",Master's,D
8404, PROVIDENCE PHOTONICS LLC ,D," 77,000 ",Master's,D
9324, SUREIFY LABS INC ,D," 120,349 ",Master's,D
0835, 0 ,D," 23,255 ",Bachelor's,D
3026, HNL CONSULTING LLC ,D," 21,840 ",Master's,D
5146, NOVABIOASSAYS LLC ,D," 74,825 ",Doctorate,D
6592, INDIAN PALMS COUNTRY CLUB 2012 IN ,D," 44,000 ",Master's,D
7261, ST VINCENT ANDERSON REGIONAL HOSP ,D," 340,000 ",Professional Degree,D
8761, SKYLINE SMILES L L C D/B/A SKYLIN ,D," 26,000 ",Doctorate,D
9415, TUTE GENOMICS INC ,D," 58,000 ",Master's,D
1893, BLANK CREATIONS INC DBA BLANK DES ,D," 55,545 ",Bachelor's,D
7385, CHARMTECH LABS LLC ,D," 96,000 ",Bachelor's,D
8420, SHREEJI SAI LLC DBA SANDPIPER ALF ,D," 85,946 ",Master's,D
1915, TRACKMAVEN INC ,D," 121,000 ",Bachelor's,D
6580, LAXMI DURGA RX LLC DBA EDMONDSON ,D," 110,552 ",Bachelor's,D
7769, NEODIGITAL INC ,D," 65,000 ",Bachelor's,D
0048, ALPHACORE INC ,D," 75,000 ",Master's,D
6551, TODDLERS ON THE HILL LLC ,D," 35,000 ",Master's,D
8210, SERVICE TRADING COMPANY INC ,D," 130,000 ",Master's,D
6502, SUMMIT RX INC ,D," 106,000 ",Master's,D
6600, SELLS GROUP LLC ,D," 56,000 ",Bachelor's,D
6887, DISCOVERY ANALYTICS INC ,D," 80,000 ",Master's,D
0520, LOWENSTEIN SANDLER LLP ,D," 220,000 ",Professional Degree,D
0988, ATARA BIOTHERAPEUTICS INC ,D," 130,000 ",Master's,D
1256, HAENGEL & ASSO ENGINEERING II INC ,D," 52,000 ",Master's,D
5388, 1DEBIT INC ,D," 49,920 ",Master's,D
7257, EMBRYOLAB LLC ,D," 64,756 ",Doctorate,D
7661, LNN VETERINARY SERVICES PC ,D," 60,000 ",Professional Degree,D
8982, HH HEALTH SYSTEM-MORGAN LLC ,D," 200,000 ",Professional Degree,D
1577, CAMFIND INC ,D," 90,293 ",Master's,D
3789, ACU HEALTH MEDICAL GROUP INC ,D," 44,075 ",Master's,D
7185, ACOM DRUG TESTING SVCS LLC D/B/A ,D," 60,000 ",Doctorate,D
1897, ATA ACCOUNTING & TAX SERVICE LLC ,D," 25,272 ",Master's,D
5334, RAHARNEY CAPITAL LLC ,D," 64,000 ",Master's,D
7887, PENSKE BUSINESS MEDIA LLC ,D," 145,000 ",Bachelor's,D
8240, ASKLEPIAN INC ,D," 60,000 ",Bachelor's,D
1661, NUCO HEALTH LLC DBA HEALTHRISE SO ,D," 71,000 ",Master's,D
2228, THRILLIST MEDIA GROUP INC ,D," 100,000 ",Bachelor's,D
4114, DETECH SECURITY CORP ,D," 40,000 ",Master's,D
8604, SINGULARITY CONSULTING SVCS LLC ,D," 80,000 ",Master's,D
9232, ANZ CLINICS INC ,D," 250,000 ",Professional Degree,D
9441, DIAMOND FOUNDRY INC ,D," 110,000 ",Master's,D
2345, KILDERKIN GROUP LLC ,D," 85,000 ",Master's,D
3220, EXCEL DENTAL INC ,D," 120,000 ",Professional Degree,D
3318, SOUTHERN HEAVY HAUL INC ,D," 62,400 ",Bachelor's,D
8367, OILFIELD STEEL SUPPLY LLC ,D," 60,237 ",Bachelor's,D
2243, YTEL INC ,D," 85,446 ",Bachelor's,D
5116, TESIS CONSULTING INC ,D," 48,000 ",Bachelor's,D
